"brand","modelName","wattageW","plusRating","modularity","formFactor","warrantyYears","notes","price","stocks"
"ADATA / XPG","Core Reactor II 1000W","1000","80+ Gold","Full-modular","ATX","10","Good value ATX 3.0","7400","9"
"Antec","NeoECO 550M","550","80+ Bronze","Semi-modular","ATX","5","Value semi-modular","3850","11"
"Antec","NeoECO Gold 650W","650","80+ Gold","Full-modular","ATX","10","Value Gold","4950","19"
"Antec","NeoECO Gold 750W","750","80+ Gold","Full-modular","ATX","10","Value Gold","5650","20"
"Antec","Signature 1000W","1000","80+ Titanium","Full-modular","ATX","10","Flagship Titanium","8500","26"
"SilverStone","ET650-G","650","80+ Gold","Non-modular","ATX","3","Compact 140mm depth","4950","26"
"SilverStone","ET750-G","750","80+ Gold","Non-modular","ATX","3","Compact 140mm depth","5650","27"
"SilverStone","DA850 Gold","850","80+ Gold","Full-modular","ATX","5","Mid-range","6350","14"
"SilverStone","DA1000 Gold","1000","80+ Gold","Full-modular","ATX","5","Mid-range","7400","25"
"Montech","Century II Gold 850W","850","80+ Gold","Full-modular","ATX","10","Strong value ATX 3.0","6350","17"
"Montech","Century II Gold 1000W","1000","80+ Gold","Full-modular","ATX","10","Strong value ATX 3.0","7400","3"
"Montech","Titan Gold 850W","850","80+ Gold","Full-modular","ATX","10","Value flagship","6350","5"
"Lian Li","SP750 SFX","750","80+ Gold","Full-modular","SFX","5","SFF builds","5650","20"
"Lian Li","EDGE 1000W","1000","80+ Gold","Full-modular","ATX","10","Clean-look enthusiast unit","7400","17"
