"brand","generation","modelName","socket","cores","thread","baseClockGhz","boostClockGhz","integratedGraphics","memorySupport","launchYear","price","stocks"
"Intel","13th Gen Core (Raptor Lake-S)","Core i9-13900","LGA1700","24","32","2.0","5.6","UHD Graphics 770","DDR4-3200 / DDR5-5600","2023","19240","20"
"Intel","13th Gen Core (Raptor Lake-S)","Core i9-13900F","LGA1700","24","32","2.0","5.6","None","DDR4-3200 / DDR5-5600","2023","19240","15"
"Intel","13th Gen Core (Raptor Lake-S)","Core i9-13900K","LGA1700","24","32","3.0","5.8","UHD Graphics 770","DDR4-3200 / DDR5-5600","2022","19720","20"
"Intel","13th Gen Core (Raptor Lake-S)","Core i9-13900KF","LGA1700","24","32","3.0","5.8","None","DDR4-3200 / DDR5-5600","2022","19720","15"
"Intel","13th Gen Core (Raptor Lake-S)","Core i9-13900KS","LGA1700","24","32","3.2","6.0","UHD Graphics 770","DDR4-3200 / DDR5-5600","2023","19880","3"
"Intel","14th Gen Core (Raptor Lake Refresh)","Core i3-14100","LGA1700","4","8","3.5","4.7","UHD Graphics 730","DDR4-3200 / DDR5-4800","2024","10380","7"
"Intel","14th Gen Core (Raptor Lake Refresh)","Core i3-14100F","LGA1700","4","8","3.5","4.7","None","DDR4-3200 / DDR5-4800","2024","10380","27"
"Intel","14th Gen Core (Raptor Lake Refresh)","Core i5-14400","LGA1700","10","16","2.5","4.7","UHD Graphics 730","DDR4-3200 / DDR5-4800","2024","13280","12"
"Intel","14th Gen Core (Raptor Lake Refresh)","Core i5-14400F","LGA1700","10","16","2.5","4.7","None","DDR4-3200 / DDR5-4800","2024","13280","7"
"Intel","14th Gen Core (Raptor Lake Refresh)","Core i5-14500","LGA1700","14","20","2.6","5.0","UHD Graphics 770","DDR4-3200 / DDR5-5600","2024","15440","13"
"Intel","14th Gen Core (Raptor Lake Refresh)","Core i5-14600","LGA1700","14","20","2.7","5.2","UHD Graphics 770","DDR4-3200 / DDR5-5600","2024","15560","14"
"Intel","14th Gen Core (Raptor Lake Refresh)","Core i5-14600K","LGA1700","14","20","3.5","5.3","UHD Graphics 770","DDR4-3200 / DDR5-5600","2023","14420","14"
"Intel","14th Gen Core (Raptor Lake Refresh)","Core i5-14600KF","LGA1700","14","20","3.5","5.3","None","DDR4-3200 / DDR5-5600","2023","14420","9"
"Intel","14th Gen Core (Raptor Lake Refresh)","Core i7-14700","LGA1700","20","28","2.1","5.4","UHD Graphics 770","DDR4-3200 / DDR5-5600","2024","18700","17"
"Intel","14th Gen Core (Raptor Lake Refresh)","Core i7-14700F","LGA1700","20","28","2.1","5.4","None","DDR4-3200 / DDR5-5600","2024","18700","12"
"Intel","14th Gen Core (Raptor Lake Refresh)","Core i7-14700K","LGA1700","20","28","3.4","5.6","UHD Graphics 770","DDR4-3200 / DDR5-5600","2023","17800","17"
"Intel","14th Gen Core (Raptor Lake Refresh)","Core i7-14700KF","LGA1700","20","28","3.4","5.6","None","DDR4-3200 / DDR5-5600","2023","17800","12"
"Intel","14th Gen Core (Raptor Lake Refresh)","Core i9-14900","LGA1700","24","32","2.0","5.8","UHD Graphics 770","DDR4-3200 / DDR5-5600","2024","20820","21"
"Intel","14th Gen Core (Raptor Lake Refresh)","Core i9-14900F","LGA1700","24","32","2.0","5.8","None","DDR4-3200 / DDR5-5600","2024","20820","16"
"Intel","14th Gen Core (Raptor Lake Refresh)","Core i9-14900K","LGA1700","24","32","3.2","6.0","UHD Graphics 770","DDR4-3200 / DDR5-5600","2023","19880","21"
"Intel","14th Gen Core (Raptor Lake Refresh)","Core i9-14900KF","LGA1700","24","32","3.2","6.0","None","DDR4-3200 / DDR5-5600","2023","19880","16"
"Intel","14th Gen Core (Raptor Lake Refresh)","Core i9-14900KS","LGA1700","24","32","3.2","6.2","UHD Graphics 770","DDR4-3200 / DDR5-5600","2024","21460","4"
"Intel","Core Ultra 200S (Arrow Lake-S)","Core Ultra 5 225","LGA1851","10","10","3.3","4.9","Intel Graphics (Xe-LPG, 2 Xe)","DDR5-6400","2025","12780","25"
"Intel","Core Ultra 200S (Arrow Lake-S)","Core Ultra 5 225F","LGA1851","10","10","3.3","4.9","None","DDR5-6400","2025","12780","20"
"Intel","Core Ultra 200S (Arrow Lake-S)","Core Ultra 5 235","LGA1851","14","14","3.4","5.0","Intel Graphics (Xe-LPG, 4 Xe)","DDR5-6400","2025","14860","26"
"Intel","Core Ultra 200S (Arrow Lake-S)","Core Ultra 5 245K","LGA1851","14","14","4.2","5.2","Intel Graphics (Xe-LPG, 4 Xe)","DDR5-6400","2024","15260","27"
"Intel","Core Ultra 200S (Arrow Lake-S)","Core Ultra 5 245KF","LGA1851","14","14","4.2","5.2","None","DDR5-6400","2024","15260","22"
"Intel","Core Ultra 200S (Arrow Lake-S)","Core Ultra 7 265","LGA1851","20","20","2.4","5.3","Intel Graphics (Xe-LPG, 4 Xe)","DDR5-6400","2025","17580","6"
"Intel","Core Ultra 200S (Arrow Lake-S)","Core Ultra 7 265F","LGA1851","20","20","2.4","5.3","None","DDR5-6400","2025","17580","26"
"Intel","Core Ultra 200S (Arrow Lake-S)","Core Ultra 7 265K","LGA1851","20","20","3.9","5.5","Intel Graphics (Xe-LPG, 4 Xe)","DDR5-6400","2024","18260","6"
"Intel","Core Ultra 200S (Arrow Lake-S)","Core Ultra 7 265KF","LGA1851","20","20","3.9","5.5","None","DDR5-6400","2024","18260","26"
"Intel","Core Ultra 200S (Arrow Lake-S)","Core Ultra 9 285K","LGA1851","24","24","3.7","5.7","Intel Graphics (Xe-LPG, 4 Xe)","DDR5-6400","2024","20260","10"
"AMD","Ryzen 3000 (Picasso APU)","Ryzen 3 3200G","AM4","4","4","3.6","4.0","Radeon Vega 8","DDR4-2933","2019","8040","6"
"AMD","Ryzen 3000 (Picasso APU)","Ryzen 5 3400G","AM4","4","8","3.7","4.2","Radeon Vega 11","DDR4-2933","2019","8760","10"
"AMD","Ryzen 3000 (Matisse)","Ryzen 3 3100","AM4","4","8","3.6","3.9","None","DDR4-3200","2020","8600","9"
"AMD","Ryzen 3000 (Matisse)","Ryzen 3 3300X","AM4","4","8","3.8","4.3","None","DDR4-3200","2020","8840","24"
"AMD","Ryzen 3000 (Matisse)","Ryzen 5 3500X","AM4","6","6","3.6","4.1","None","DDR4-3200","2019","9080","3"
"AMD","Ryzen 3000 (Matisse)","Ryzen 5 3600","AM4","6","12","3.6","4.2","None","DDR4-3200","2019","10020","16"
"AMD","Ryzen 3000 (Matisse)","Ryzen 5 3600X","AM4","6","12","3.8","4.4","None","DDR4-3200","2019","10180","4"
"AMD","Ryzen 3000 (Matisse)","Ryzen 5 3600XT","AM4","6","12","3.8","4.5","None","DDR4-3200","2020","10220","13"
"AMD","Ryzen 3000 (Matisse)","Ryzen 7 3700X","AM4","8","16","3.6","4.4","None","DDR4-3200","2019","11400","7"
"AMD","Ryzen 3000 (Matisse)","Ryzen 7 3800X","AM4","8","16","3.9","4.5","None","DDR4-3200","2019","11560","8"
"AMD","Ryzen 3000 (Matisse)","Ryzen 7 3800XT","AM4","8","16","3.9","4.7","None","DDR4-3200","2020","11640","17"
"AMD","Ryzen 3000 (Matisse)","Ryzen 9 3900X","AM4","12","24","3.8","4.6","None","DDR4-3200","2019","14160","11"
"AMD","Ryzen 3000 (Matisse)","Ryzen 9 3900XT","AM4","12","24","3.8","4.7","None","DDR4-3200","2020","14200","20"
"AMD","Ryzen 3000 (Matisse)","Ryzen 9 3950X","AM4","16","32","3.5","4.7","None","DDR4-3200","2019","16680","16"
"AMD","Ryzen 4000 (Renoir APU)","Ryzen 3 4100","AM4","4","8","3.8","4.0","None","DDR4-3200","2022","8720","10"
"AMD","Ryzen 4000 (Renoir APU)","Ryzen 3 4300G","AM4","4","8","3.8","4.0","Radeon Vega 6","DDR4-3200","2020","8720","8"
"AMD","Ryzen 4000 (Renoir APU)","Ryzen 5 4500","AM4","6","12","3.6","4.1","None","DDR4-3200","2022","9980","16"
"AMD","Ryzen 4000 (Renoir APU)","Ryzen 5 4600G","AM4","6","12","3.7","4.2","Radeon Vega 7","DDR4-3200","2020","10060","13"
"AMD","Ryzen 4000 (Renoir APU)","Ryzen 7 4700G","AM4","8","16","3.6","4.4","Radeon Vega 8","DDR4-3200","2020","11400","16"
"AMD","Ryzen 5000 (Cezanne APU)","Ryzen 3 5300G","AM4","4","8","4.0","4.2","Radeon Vega 6","DDR4-3200","2021","8880","9"
"AMD","Ryzen 5000 (Vermeer)","Ryzen 5 5500","AM4","6","12","3.6","4.2","None","DDR4-3200","2022","10020","17"
"AMD","Ryzen 5000 (Cezanne APU)","Ryzen 5 5500GT","AM4","6","12","3.6","4.4","Radeon Vega 7","DDR4-3200","2024","11600","22"
"AMD","Ryzen 5000 (Vermeer)","Ryzen 5 5600","AM4","6","12","3.5","4.4","None","DDR4-3200","2022","10060","18"
"AMD","Ryzen 5000 (Cezanne APU)","Ryzen 5 5600G","AM4","6","12","3.9","4.4","Radeon Vega 7","DDR4-3200","2021","10220","14"
"AMD","Ryzen 5000 (Cezanne APU)","Ryzen 5 5600GT","AM4","6","12","3.6","4.6","Radeon Vega 7","DDR4-3200","2024","11680","23"
"AMD","Ryzen 5000 (Vermeer)","Ryzen 5 5600X","AM4","6","12","3.7","4.6","None","DDR4-3200","2020","10220","6"
"AMD","Ryzen 5000 (Vermeer X3D)","Ryzen 5 5600X3D","AM4","6","12","3.3","4.4","None","DDR4-3200","2023","9980","25"
"AMD","Ryzen 5000 (Vermeer)","Ryzen 7 5700","AM4","8","16","3.7","4.6","None","DDR4-3200","2024","13020","21"
"AMD","Ryzen 5000 (Cezanne APU)","Ryzen 7 5700G","AM4","8","16","3.8","4.6","Radeon Vega 8","DDR4-3200","2021","11560","17"
"AMD","Ryzen 5000 (Vermeer)","Ryzen 7 5700X","AM4","8","16","3.4","4.6","None","DDR4-3200","2022","11400","9"
"AMD","Ryzen 5000 (Vermeer X3D)","Ryzen 7 5700X3D","AM4","8","16","3.0","4.1","None","DDR4-3200","2024","12540","3"
"AMD","Ryzen 5000 (Vermeer)","Ryzen 7 5800X","AM4","8","16","3.8","4.7","None","DDR4-3200","2020","11600","10"
"AMD","Ryzen 5000 (Vermeer X3D)","Ryzen 7 5800X3D","AM4","8","16","3.4","4.5","None","DDR4-3200","2022","11360","4"
"AMD","Ryzen 5000 (Vermeer)","Ryzen 9 5900X","AM4","12","24","3.7","4.8","None","DDR4-3200","2020","14200","13"
"AMD","Ryzen 5000 (Vermeer)","Ryzen 9 5950X","AM4","16","32","3.4","4.9","None","DDR4-3200","2020","16720","18"
"AMD","Ryzen 7000 (Raphael)","Ryzen 5 7500F","AM5","6","12","3.7","5.0","None","DDR5-5200","2023","10380","14"
"AMD","Ryzen 7000 (Raphael)","Ryzen 5 7600","AM5","6","12","3.8","5.1","Radeon Graphics (RDNA 2, 2 CU)","DDR5-5200","2023","10460","20"
"AMD","Ryzen 7000 (Raphael)","Ryzen 5 7600X","AM5","6","12","4.7","5.3","Radeon Graphics (RDNA 2, 2 CU)","DDR5-5200","2022","10900","8"
"AMD","Ryzen 7000 (Raphael)","Ryzen 7 7700","AM5","8","16","3.8","5.3","Radeon Graphics (RDNA 2, 2 CU)","DDR5-5200","2023","11840","23"
"AMD","Ryzen 7000 (Raphael)","Ryzen 7 7700X","AM5","8","16","4.5","5.4","Radeon Graphics (RDNA 2, 2 CU)","DDR5-5200","2022","12160","11"
"AMD","Ryzen 7000 (Raphael X3D)","Ryzen 7 7800X3D","AM5","8","16","4.2","5.0","Radeon Graphics (RDNA 2, 2 CU)","DDR5-5200","2023","11880","6"
"AMD","Ryzen 7000 (Raphael)","Ryzen 9 7900","AM5","12","24","3.7","5.4","Radeon Graphics (RDNA 2, 2 CU)","DDR5-5200","2023","14440","27"
"AMD","Ryzen 7000 (Raphael)","Ryzen 9 7900X","AM5","12","24","4.7","5.6","Radeon Graphics (RDNA 2, 2 CU)","DDR5-5200","2022","14920","15"
"AMD","Ryzen 7000 (Raphael X3D)","Ryzen 9 7900X3D","AM5","12","24","4.4","5.6","Radeon Graphics (RDNA 2, 2 CU)","DDR5-5200","2023","14800","9"
"AMD","Ryzen 7000 (Raphael)","Ryzen 9 7950X","AM5","16","32","4.5","5.7","Radeon Graphics (RDNA 2, 2 CU)","DDR5-5200","2022","17480","20"
"AMD","Ryzen 7000 (Raphael X3D)","Ryzen 9 7950X3D","AM5","16","32","4.2","5.7","Radeon Graphics (RDNA 2, 2 CU)","DDR5-5200","2023","17360","14"
"AMD","Ryzen 8000G (Phoenix APU)","Ryzen 3 8300G","AM5","4","8","3.4","4.9","Radeon 740M","DDR5-5600","2024","10420","12"
"AMD","Ryzen 8000G (Phoenix APU)","Ryzen 5 8400F","AM5","6","12","4.2","4.7","None","DDR5-5600","2024","11960","14"
"AMD","Ryzen 8000G (Phoenix APU)","Ryzen 5 8500G","AM5","6","12","3.5","5.0","Radeon 740M","DDR5-5600","2024","11800","16"
"AMD","Ryzen 8000G (Phoenix APU)","Ryzen 5 8600G","AM5","6","12","4.3","5.0","Radeon 760M","DDR5-5600","2024","12120","17"
"AMD","Ryzen 8000G (Phoenix APU)","Ryzen 7 8700F","AM5","8","16","4.1","5.0","None","DDR5-5600","2024","13340","19"
"AMD","Ryzen 8000G (Phoenix APU)","Ryzen 7 8700G","AM5","8","16","4.2","5.1","Radeon 780M","DDR5-5600","2024","13420","20"
"AMD","Ryzen 9000 (Granite Ridge)","Ryzen 5 9600X","AM5","6","12","3.9","5.4","Radeon Graphics (RDNA 2, 2 CU)","DDR5-5600","2024","12120","10"
"AMD","Ryzen 9000 (Granite Ridge)","Ryzen 7 9700X","AM5","8","16","3.8","5.5","Radeon Graphics (RDNA 2, 2 CU)","DDR5-5600","2024","13420","13"
"AMD","Ryzen 9000 (Granite Ridge X3D)","Ryzen 7 9800X3D","AM5","8","16","4.7","5.2","Radeon Graphics (RDNA 2, 2 CU)","DDR5-5600","2024","13660","8"
"AMD","Ryzen 9000 (Granite Ridge)","Ryzen 9 9900X","AM5","12","24","4.4","5.6","Radeon Graphics (RDNA 2, 2 CU)","DDR5-5600","2024","16300","17"
"AMD","Ryzen 9000 (Granite Ridge X3D)","Ryzen 9 9900X3D","AM5","12","24","4.4","5.5","Radeon Graphics (RDNA 2, 2 CU)","DDR5-5600","2025","16260","11"
"AMD","Ryzen 9000 (Granite Ridge)","Ryzen 9 9950X","AM5","16","32","4.3","5.7","Radeon Graphics (RDNA 2, 2 CU)","DDR5-5600","2024","18900","22"
"AMD","Ryzen 9000 (Granite Ridge X3D)","Ryzen 9 9950X3D","AM5","16","32","4.3","5.7","Radeon Graphics (RDNA 2, 2 CU)","DDR5-5600","2025","18900","16"
