"brand","modelName","chipset","socket","cpuPlatform","formFactor","memoryType","ramSlots","maxRam","m2Slots","pcieVersion","notableFeatures","price","stocks"
"Gigabyte","H610M H DDR4","H610","LGA1700","Intel 12th/13th/14th Gen","Micro-ATX","DDR4","2","64 GB","1","PCIe 4.0","Entry build board","3250","20"
"Gigabyte","B760M DS3H DDR4","B760","LGA1700","Intel 12th/13th/14th Gen","Micro-ATX","DDR4","4","128 GB","2","PCIe 4.0","Value mainstream board","4300","22"
"Gigabyte","B760 AORUS ELITE AX","B760","LGA1700","Intel 12th/13th/14th Gen","ATX","DDR5","4","192 GB","3","PCIe 4.0","WiFi 6E, 2.5G LAN","4750","26"
"Gigabyte","Z790 AORUS ELITE AX","Z790","LGA1700","Intel 12th/13th/14th Gen","ATX","DDR5","4","192 GB","4","PCIe 5.0","CPU OC, WiFi 6E, PCIe 5.0 M.2","6700","3"
"ASRock","B760M PRO RS/D4","B760","LGA1700","Intel 12th/13th/14th Gen","Micro-ATX","DDR4","4","128 GB","2","PCIe 4.0","Value board, 2.5G LAN","4300","11"
"ASRock","Z790 Steel Legend WiFi","Z790","LGA1700","Intel 12th/13th/14th Gen","ATX","DDR5","4","192 GB","4","PCIe 5.0","CPU OC, WiFi 6E, 2.5G LAN","6700","12"
"ASUS","PRIME B860M-A WIFI","B860","LGA1851","Intel Core Ultra 200S","Micro-ATX","DDR5","4","256 GB","3","PCIe 5.0","WiFi 6E, memory OC","4750","27"
"ASUS","ROG STRIX Z890-A GAMING WIFI","Z890","LGA1851","Intel Core Ultra 200S","ATX","DDR5","4","256 GB","4","PCIe 5.0","CPU OC, WiFi 7, Thunderbolt 4","6700","12"
"MSI","PRO B860M-A WIFI","B860","LGA1851","Intel Core Ultra 200S","Micro-ATX","DDR5","4","256 GB","3","PCIe 5.0","WiFi 7, 2.5G LAN","4750","4"
"MSI","MAG Z890 TOMAHAWK WIFI","Z890","LGA1851","Intel Core Ultra 200S","ATX","DDR5","4","256 GB","4","PCIe 5.0","CPU OC, WiFi 7, 5G LAN","6700","27"
"Gigabyte","Z890 AORUS ELITE WIFI7","Z890","LGA1851","Intel Core Ultra 200S","ATX","DDR5","4","256 GB","4","PCIe 5.0","CPU OC, WiFi 7, PCIe 5.0 M.2","6700","9"
"ASRock","B860M Pro-A","B860","LGA1851","Intel Core Ultra 200S","Micro-ATX","DDR5","4","256 GB","3","PCIe 5.0","Value board, 2.5G LAN","4750","22"
"ASUS","PRIME A320M-K","A320","AM4","AMD Ryzen 3000-5000","Micro-ATX","DDR4","2","32 GB","0","PCIe 3.0","Entry board, BIOS update needed for 5000","2800","17"
"ASUS","PRIME B450M-A II","B450","AM4","AMD Ryzen 3000-5000","Micro-ATX","DDR4","4","128 GB","1","PCIe 3.0","Budget favourite, CPU OC","3850","15"
"ASUS","TUF Gaming B550M-PLUS","B550","AM4","AMD Ryzen 3000-5000","Micro-ATX","DDR4","4","128 GB","2","PCIe 4.0","PCIe 4.0, 2.5G LAN, CPU OC","4300","7"
"ASUS","ROG STRIX B550-F GAMING","B550","AM4","AMD Ryzen 3000-5000","ATX","DDR4","4","128 GB","2","PCIe 4.0","Strong VRM, 2.5G LAN","4300","26"
"ASUS","ROG CROSSHAIR VIII HERO","X570","AM4","AMD Ryzen 3000-5000","ATX","DDR4","4","128 GB","2","PCIe 4.0","Flagship AM4 board, 2.5G LAN","4300","14"
"MSI","A320M-A PRO","A320","AM4","AMD Ryzen 3000-5000","Micro-ATX","DDR4","2","32 GB","1","PCIe 3.0","Entry SI board","3250","9"
"MSI","B450M-A PRO MAX II","B450","AM4","AMD Ryzen 3000-5000","Micro-ATX","DDR4","2","64 GB","1","PCIe 3.0","Budget board, wide CPU support","3250","4"
"MSI","MAG B550 TOMAHAWK MAX WIFI","B550","AM4","AMD Ryzen 3000-5000","ATX","DDR4","4","128 GB","2","PCIe 4.0","Excellent VRM, WiFi 6, 2.5G LAN","4300","8"
"MSI","MPG X570 GAMING PLUS","X570","AM4","AMD Ryzen 3000-5000","ATX","DDR4","4","128 GB","2","PCIe 4.0","CPU OC, chipset fan","4300","12"
"Gigabyte","A520M K V2","A520","AM4","AMD Ryzen 3000-5000","Micro-ATX","DDR4","2","64 GB","1","PCIe 3.0","Budget board, no CPU OC","3250","7"
"Gigabyte","B450M DS3H V2","B450","AM4","AMD Ryzen 3000-5000","Micro-ATX","DDR4","4","128 GB","1","PCIe 3.0","Common budget board","3850","9"
"Gigabyte","B550M AORUS ELITE","B550","AM4","AMD Ryzen 3000-5000","Micro-ATX","DDR4","4","128 GB","2","PCIe 4.0","PCIe 4.0, solid VRM","4300","15"
"Gigabyte","X570 AORUS ELITE","X570","AM4","AMD Ryzen 3000-5000","ATX","DDR4","4","128 GB","2","PCIe 4.0","CPU OC, 2.5G LAN","4300","12"
"ASRock","B450M Steel Legend","B450","AM4","AMD Ryzen 3000-5000","Micro-ATX","DDR4","4","128 GB","2","PCIe 3.0","Good VRM for the price","4300","9"
"ASRock","B550M Steel Legend","B550","AM4","AMD Ryzen 3000-5000","Micro-ATX","DDR4","4","128 GB","2","PCIe 4.0","PCIe 4.0, 2.5G LAN","4300","10"
"ASUS","PRIME A620M-K","A620","AM5","AMD Ryzen 7000-9000","Micro-ATX","DDR5","2","96 GB","1","PCIe 4.0","Entry AM5 board, no CPU OC","3250","20"
"ASUS","PRIME B650M-A II","B650","AM5","AMD Ryzen 7000-9000","Micro-ATX","DDR5","4","192 GB","2","PCIe 4.0","Value AM5 board, 2.5G LAN","4300","17"
"ASUS","TUF Gaming B650-PLUS WIFI","B650","AM5","AMD Ryzen 7000-9000","ATX","DDR5","4","192 GB","3","PCIe 4.0","WiFi 6, 2.5G LAN, CPU OC","4750","16"
"ASUS","ROG STRIX B650E-F GAMING WIFI","B650E","AM5","AMD Ryzen 7000-9000","ATX","DDR5","4","192 GB","3","PCIe 5.0","PCIe 5.0 x16 + M.2, WiFi 6E","4750","6"
"ASUS","ROG STRIX X670E-E GAMING WIFI","X670E","AM5","AMD Ryzen 7000-9000","ATX","DDR5","4","192 GB","4","PCIe 5.0","Dual chipset, WiFi 6E, 2.5G LAN","6700","4"
"ASUS","ROG CROSSHAIR X870E HERO","X870E","AM5","AMD Ryzen 7000-9000","ATX","DDR5","4","256 GB","5","PCIe 5.0","USB4, WiFi 7, flagship VRM","7150","25"
"MSI","PRO A620M-E","A620","AM5","AMD Ryzen 7000-9000","Micro-ATX","DDR5","2","96 GB","1","PCIe 4.0","Budget AM5 entry","3250","16"
"MSI","PRO B650M-A WIFI","B650","AM5","AMD Ryzen 7000-9000","Micro-ATX","DDR5","4","192 GB","2","PCIe 4.0","WiFi 6E, 2.5G LAN","4300","26"
"MSI","MAG B650 TOMAHAWK WIFI","B650","AM5","AMD Ryzen 7000-9000","ATX","DDR5","4","192 GB","3","PCIe 4.0","Strong VRM, WiFi 6E, 2.5G LAN","4750","22"
"MSI","MPG X670E CARBON WIFI","X670E","AM5","AMD Ryzen 7000-9000","ATX","DDR5","4","192 GB","4","PCIe 5.0","PCIe 5.0 M.2, WiFi 6E","6700","13"
"MSI","MAG X870 TOMAHAWK WIFI","X870","AM5","AMD Ryzen 7000-9000","ATX","DDR5","4","256 GB","4","PCIe 5.0","USB4, WiFi 7, 5G LAN","6700","23"
"Gigabyte","A620M GAMING X","A620","AM5","AMD Ryzen 7000-9000","Micro-ATX","DDR5","4","192 GB","2","PCIe 4.0","Budget AM5, 4 DIMM slots","4300","20"
"Gigabyte","B650M DS3H","B650","AM5","AMD Ryzen 7000-9000","Micro-ATX","DDR5","4","192 GB","2","PCIe 4.0","Value AM5 mainstream board","4300","18"
"Gigabyte","B650 AORUS ELITE AX","B650","AM5","AMD Ryzen 7000-9000","ATX","DDR5","4","192 GB","3","PCIe 4.0","WiFi 6E, 2.5G LAN, good VRM","4750","24"
"Gigabyte","X670E AORUS MASTER","X670E","AM5","AMD Ryzen 7000-9000","ATX","DDR5","4","192 GB","4","PCIe 5.0","High-end VRM, WiFi 6E, 10G LAN","6700","21"
"Gigabyte","X870 AORUS ELITE WIFI7","X870","AM5","AMD Ryzen 7000-9000","ATX","DDR5","4","256 GB","4","PCIe 5.0","USB4, WiFi 7, PCIe 5.0 M.2","6700","5"
"ASRock","B650M PG Riptide","B650","AM5","AMD Ryzen 7000-9000","Micro-ATX","DDR5","4","192 GB","3","PCIe 4.0","Value board, 2.5G LAN","4750","8"
"ASRock","B650E Steel Legend WiFi","B650E","AM5","AMD Ryzen 7000-9000","ATX","DDR5","4","192 GB","3","PCIe 5.0","PCIe 5.0 x16, WiFi 6E","4750","27"
"ASRock","X870 Steel Legend WiFi","X870","AM5","AMD Ryzen 7000-9000","ATX","DDR5","4","256 GB","4","PCIe 5.0","USB4, WiFi 7, 2.5G LAN","6700","9"
