"brand","modelName","towerClass","motherboardSupport","maxGpuLengthMm","price","stocks"
"Thermaltake","Ceres 330 TG ARGB","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","400","5140","23"
"ASUS","TUF Gaming GT302 ARGB","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","400","5070","11"
"ASUS","Prime AP201","Mid Tower (compact)","ATX, mATX, Mini-ITX","338","4710","26"
"MSI","MAG FORGE 320R AIRFLOW","Mid Tower","ATX, mATX, Mini-ITX","400","5050","3"
"MSI","MPG GUNGNIR 300R AIRFLOW","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","400","5110","8"
"Antec","P20C / P20CE","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","405","5130","13"
"Antec","DF700 FLUX","Mid Tower","ATX, mATX, Mini-ITX","405","5085","8"
"Hyte","Y60","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","375","4900","3"
"Hyte","Y70","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","422","5130","4"
"InWin","103 / 216","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","400","5000","24"
"Darkflash","DK431 / DLM21 Mesh","Mid Tower","ATX, mATX, Mini-ITX","340","4645","19"
"Tecware","Forge M / Nexus Air","Mid Tower","ATX, mATX, Mini-ITX","340","4660","8"
"1STPLAYER","STEAMPUNK SP7 / BLACK SIR","Mid Tower","ATX, mATX, Mini-ITX","340","4660","5"
"Lian Li","O11 Dynamic EVO XL","Full Tower","E-ATX, ATX, mATX, Mini-ITX","461","5305","8"
"Lian Li","V3000 PLUS","Super / Full Tower","E-ATX, SSI-EEB, ATX, mATX, Mini-ITX","500","5720","15"
"Corsair","7000D Airflow","Full Tower","E-ATX, ATX, mATX, Mini-ITX","450","5415","23"
"Corsair","Obsidian 1000D","Super / Full Tower","E-ATX, ATX, mATX, Mini-ITX + Mini-ITX secondary","400","5155","27"
"Fractal Design","Define 7 XL","Full Tower","E-ATX, SSI-EEB, ATX, mATX, Mini-ITX","491","5775","7"
"Fractal Design","Meshify 2 XL","Full Tower","E-ATX, SSI-EEB, ATX, mATX, Mini-ITX","480","5730","15"
"Fractal Design","Torrent (full config)","Full Tower","E-ATX, SSI-EEB, ATX, mATX, Mini-ITX","461","5520","22"
"Phanteks","Enthoo Pro 2","Full Tower","E-ATX, SSI-EEB, ATX, mATX, Mini-ITX","503","5730","22"
"Phanteks","NV7 / NV9","Full Tower","E-ATX, SSI-EEB, ATX, mATX, Mini-ITX","480","5610","8"
"Cooler Master","HAF 700 EVO","Full Tower","E-ATX, SSI-EEB, ATX, mATX, Mini-ITX","490","5415","22"
"Cooler Master","Cosmos C700M","Full Tower","E-ATX, SSI-EEB, ATX, mATX, Mini-ITX","490","5670","21"
"be quiet!","Dark Base Pro 901","Full Tower","E-ATX, SSI-EEB, ATX, mATX, Mini-ITX","470","5660","13"
"be quiet!","Silent Base 802 (full config)","Full Tower","E-ATX, ATX, mATX, Mini-ITX","432","5500","23"
"Thermaltake","Core P8 TG","Full Tower","E-ATX, ATX, mATX, Mini-ITX","500","5600","13"
"Thermaltake","View 51 / CTE C750","Full Tower","E-ATX, ATX, mATX, Mini-ITX","460","5440","21"
"ASUS","ROG Hyperion GR701","Full Tower","E-ATX, ATX, mATX, Mini-ITX","450","5430","15"
"Antec","Performance 1 FT","Full Tower","E-ATX, ATX, mATX, Mini-ITX","405","5130","23"
"Antec","Torque / C8","Full Tower","E-ATX, ATX, mATX, Mini-ITX","405","5130","17"
"SilverStone","Seta H1 / Alta F2","Full Tower","E-ATX, SSI-EEB, ATX, mATX, Mini-ITX","447","5390","26"
"InWin","D-Frame / 928","Super / Full Tower","E-ATX, SSI-EEB, ATX, mATX, Mini-ITX","480","5610","15"
"Hyte","Y70 Touch Infinite","Full Tower","E-ATX, ATX, mATX, Mini-ITX","422","5130","5"
